Symbol,Kod kreskowy,Nazwa,Kontener,Regał,Półka
PY-1001,5902689360183,Hostiarka - mosiądz,K23,,
CE-1009BN,5902689349973,Łódka na kadzidło - łyżeczka - mosiądz niklowany,K23,,
P-1007,5902689336256,Patena - mosiądz,K23,,
MN-1010,5902689358395,Relikwiarz - mosiądz,K23,,
HMCREL7,5902689353208,Relikwiarz - mosiądz - 18 cm,K23,,
IS-1005,5902689354106,Łyżeczka do kadzidła - mosiądz,K23,,
IS-1005N,5902689354113,Łyżeczka do kadzidła - mosiądz - nikiel,K23,,
CE-1009B,5902689349966,Łódka na kadzidło - łyżeczka,K23,,
JAK-1010,5902689354229,Lichtarz - mosiądz,K23,,
JAK-1011N,5902689354243,Lichtarz - mosiądz niklowany,K23,,
HWF-1036,5902689336584,Kociołek na wodę święconą - mosiądz,K23,,
CA-1037,5902689336935,Lichtarz - mosiądz,K23,,
JAK-1010N,5902689354236,Lichtarz - mosiądz niklowany,K23,,
MN-1007N,5902689358371,Relikwiarz - mosiądz - 15 cm - nikiel,K23,,
MN-1018,5902689336775,Relikwiarz - mosiądz,K23,,
MN-1022,5902689358470,Relikwiarz - krzyż - mosiądz,K23,,
MN-1019,5902689358456,Relikwiarz - mosiądz - 18 cm,K23,,
IB-20003,5902689336706,Kadzielnica - mosiądz,K23,,
JAK-1019N,5902689336546,Kropidło - mosiądz - nikiel - futerał,K23,,
CA-1064A,5902689336942,Lichtarz - mosiądz - 8 cm,K23,,
IB-20013,5902689336393,Kadzielnica - mosiądz,K23,,
CF-1028,5902689350184,Krzyż ołtarzowy - mosiądz - 42 cm,K23,,
HWF-1044,5902689370496,Kropielnica - mosiądz - drewno - krzyż,K23,,
NCS-6002N,5902689359026,Pastorał - mosiądz - nikiel,K23,,
CC-1002,5902689374913,Klamra do kapy - zapinka ozdobna - mosiądz,K23,,
P13N,5902689332838,Lichtarz - mosiądz -  nikiel - 40 cm,K23,,
P172,5902689392245,Lichtarz - mosiądz - 101 cm,K23,,
INB-1042,5905805904193,Łódka na kadzidło,K23,,
TB-1004,5905805902823,Tron pod monstrancję - mosiądz,K23,,
CE-22188BS,5905805904339,Łódka na kadzidło - mosiądz,K23,,
CE-22188BSN,5905805902779,Łódka na kadzidło - mosiądz - nikiel,K23,,
HK-8016-C,5905805904438,Anołek - śnieżynka - Decorato,K15,,
HK-8223-B,5905805904377,"Aniołek - figurka - lira - trąbka - lutnia - 11,5",K15,,
HK-8223-C,5905805904384,"Aniołek - figurka - lira - trąbka - lutnia - 11,5",K15,,
HK-8093-C,5905805904407,"Aniołek - figurka - lira - trąbka - lutnia - 11,5",K15,,
HK-8046-C,5905805904421,Anioł -  gwiazda - 12 cm - Decorat,K15,,
